,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Tmsb10,Tuba1a,Nnat,Tubb3,Fgf3,Mdk,Fabp7,Tubb3,Fabp7,Hes6,Cd63,Gadd45g,Stmn2,Hba-a1,Pfn1,Npm1
1,Islr2,Tubb3,Tmsb10,Igfbpl1,Tmsb10,Rps19,Ptn,Tuba1a,Id3,Cd63,Hes6,Cdkn1c,Gap43,Hbb-bs,Cd81,Hmgb2
2,Tuba1a,Nrgn,Tuba1a,Nhlh2,Nnat,Fabp7,Vim,Stmn2,Ptn,Atoh1,Hmgb2,Hes6,Neurod1,Hba-a2,Igfbp7,Tuba1b
3,Podxl2,Stmn2,Podxl2,Tfap2b,Lhx1os,Id3,Serpine2,Rtn1,Cnn3,Rps19,Tuba1b,Tmsb4x,Ptn,Hbb-bt,Myl12a,Rps19
4,Cnih2,Podxl2,Ftl1,Tuba1a,Ina,Dbi,Pea15a,Meg3,Hmgb2,Nkd1,Ran,Fabp7,Ddah2,Csmd2,Serpinh1,Cnbp
5,Rtn1,Tmsb10,Malat1,Klhl35,Tuba1a,Rpl41,Gpm6b,Tubb2b,Ran,Rps5,Ranbp1,Kirrel2,Pax6,Alas2,Gng11,Ranbp1
6,Chmp2b,Tagln3,Mllt11,Lhx5,Foxp1,Rplp0,Hes5,Stmn3,Pea15a,Rpl32,Ptma,Pvalb,Calm1,Fth1,Eva1b,Fkbp3
7,Ebf1,Pid1,Tubb3,Cdkn1c,Mllt11,Ldha,Cnn3,Tmsb10,Cnbp,Npm1,2810417H13Rik,Rps5,Ostf1,Fech,Mest,Rpl14
8,Stmn2,Ina,Rtn1,Igsf8,Tubb3,Rpl14,Dbi,Mllt11,Vim,Rps14,Npm1,Neurog2,Tubb3,Blvrb,Tagln2,H2afv
9,Mllt11,Nhlh2,Etv1,Elavl4,Fgf15,Rpl32,Serpinh1,Gap43,Tuba1b,Rpl13a,Mdk,Rps14,Clic1,Hba-x,Sparcl1,Ran
10,Ptms,Tubb2b,Ina,Cited2,Gm1673,Ybx1,Sparc,Ina,Dbi,Rps9,H2afv,Tfap2b,Nrn1,Hbb-y,Col4a1,Mdk
11,Tubb3,Malat1,Olfm1,Sox11,Nsg1,Serpinh1,Lxn,Nnat,Hes5,Rplp0,H2afz,Rplp0,Barhl1,Car2,Sparc,Rrm2
12,Stmn3,Stmn3,Stmn3,Nhlh1,Sox4,Cnbp,Id3,Tubb2a,H2afv,Rpl14,Atoh1,Btg2,Mab21l1,Snca,Tpm4,Rpl4
13,Tubb2b,Actb,Nr2f1,Tubb5,Rtn1,Rps14,Pantr1,Nefl,Sparc,Mdk,Rrm2,Rps3,Selm,Bpgm,Itm2b,H2afz
14,Map1b,Mllt11,Id4,Tagln3,Nefl,Npm1,Cyp26b1,Gm2694,Ranbp1,Rpl37a,Nkd1,Rpl32,Tmsb4x,Hbb-bh1,BC028528,Rps5
15,Cirbp,Ebf1,Tubb2b,Crabp2,Ftl1,Zfp36l1,Acot1,Cnih2,Ybx1,Rps11,Anp32b,Rps19,Nbea,Nudt4,Clic1,2700094K13Rik
