,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
0,Nnat,Fgf3,Tubb3,Tuba1a,Fabp7,Hmgb2,Tmsb10,Tuba1a,Mdk,Tubb3,Cdkn1c,Cd63,Ptn,Hes6,Hba-a1,Tmsb10,Fabp7,Pfn1
1,Tmsb10,Tmsb10,Igfbpl1,Tubb3,Ptn,Fabp7,Tuba1a,Gap43,Rps19,Stmn2,Gadd45g,Hmgb2,Selm,Atoh1,Hbb-bs,Rtn1,Vim,Cd81
2,Tuba1a,Nnat,Nhlh2,Nrgn,Vim,Ran,Islr2,Tubb3,Id3,Tuba1a,Tmsb4x,Hes6,Barhl1,Rps19,Hba-a2,Tuba1a,Hes5,Igfbp7
3,Malat1,Tuba1a,Tuba1a,Stmn2,Hes5,H2afv,Cd47,Tmsb10,Ybx1,Rtn1,Hes6,Tuba1b,Gap43,Cd63,Hbb-bt,Stmn2,Sparc,Myl12a
4,Podxl2,Lhx1os,Tfap2b,Podxl2,Pea15a,Pttg1,Podxl2,Ebf1,Ranbp1,Tmsb10,Tfap2b,2810417H13Rik,Pax6,Nkd1,Csmd2,Ina,Ptn,Serpinh1
5,Ftl1,Ina,Klhl35,Tmsb10,Cnn3,Cdca8,Rtn1,Islr2,Ldha,Nnat,Neurog2,Ranbp1,Nrn1,Rpl32,Alas2,Tubb3,Slc1a3,Gng11
6,Mllt11,Foxp1,Lhx5,Nhlh2,Dbi,Id3,Cnih2,Runx1t1,Dbi,Mllt11,Pvalb,Ran,Ddah2,Rps5,Fth1,Gap43,Dbi,Eva1b
7,Tubb3,Tubb3,Cdkn1c,Pid1,Serpinh1,Cenpa,Stmn3,Chmp2b,Rplp0,Tubb2b,Kirrel2,Ptma,Neurod1,Rplp0,Fech,Cirbp,Pea15a,Mest
8,Rtn1,Mllt11,Stmn2,Ina,Gpm6b,Cnbp,Stmn2,Stmn2,Fabp7,Stmn3,Rps5,H2afv,Ostf1,Rps14,Blvrb,Mllt11,Id3,Tagln2
9,Ina,Fgf15,Igsf8,Tagln3,Sparc,Vim,Nnat,Rtn1,Rps5,Gm2694,Rps14,H2afz,Mab21l1,Gadd45g,Hba-x,Actb,Pfn1,Sparcl1
10,Cnih2,Rtn1,Elavl4,Tubb2b,Serpine2,Ranbp1,Mllt11,Malat1,Rpl41,Nefl,Fabp7,Rrm2,Hes6,Rpl13a,Hbb-y,Stmn3,Cnn3,Col4a1
11,Stmn3,Nsg1,Cited2,Stmn3,Id3,Birc5,Tubb3,Mllt11,Cnbp,Meg3,Cdk4,Npm1,Stmn2,Rpl37a,Car2,Map1b,Cyp26b1,Sparc
12,Tubb2b,Gm1673,Crabp2,Ftl1,Zfp36l1,H2afx,Tubb2b,Tubb2b,Rpl14,Ina,Btg2,Mdk,Cd63,Npm1,Snca,Podxl2,Gnai2,Itm2b
13,Olfm1,Sox4,Ier5,Malat1,Nkain4,Ccnb1,Cirbp,Cnih2,Mif,Gap43,Rplp0,Atoh1,Clic1,Rpl14,Bpgm,Tubb2b,Rps19,Tpm4
14,Etv1,Foxp2,Tagln3,Acat2,Acot1,Cnn3,Ftl1,Meg3,Npm1,Gng3,Rpl32,Anp32b,Ldhb,Rps9,Hbb-bh1,Tspan13,Serpine2,BC028528
15,Gm1673,Nefl,Calm2,Actb,Lxn,Tuba1b,Ptms,Ptms,Rpl32,Cnih2,Rps3,Hmgn1,Ldha,Mdk,Nudt4,Cnih2,Qk,Bgn
16,Ndn,Gap43,Tubb5,Ebf1,Cyp26b1,H2afz,Chmp2b,Ndn,Rpl13,Tubb2a,Ccnd2,Cnbp,Nbea,Rpl41,Bnip3l,Basp1,Ran,Anxa2
17,Id4,Malat1,Sox11,Gad2,Rplp0,Ube2c,Lhx1os,Stmn3,Id2,Elmo1,Ppib,Cks1b,Fam84a,Rps3,Gypa,Ncam1,Serpinh1,Clic1
